sensor_type,date,recorded
ms_p2:sensormultilevel::luminositysensor:, 2/15/2016 11:53:09 AM,1
ms_p2:sensormultilevel::luminositysensor:, 2/15/2016 11:57:09 AM,7
ms_p2:sensormultilevel::luminositysensor:, 2/15/2016 12:01:16 PM,4
ms_p2:sensormultilevel::luminositysensor:, 2/15/2016 12:05:09 PM,1
ms_p2:sensormultilevel::luminositysensor:, 2/15/2016 12:09:09 PM,0
ms_p2:sensormultilevel::luminositysensor:, 2/15/2016 12:13:10 PM,10
ms_p2:sensormultilevel::luminositysensor:, 2/15/2016 12:17:09 PM,16
ms_p2:sensormultilevel::luminositysensor:, 2/15/2016 12:21:12 PM,10
ms_p2:sensormultilevel::luminositysensor:, 2/15/2016 12:25:09 PM,13
ms_p2:sensormultilevel::luminositysensor:, 2/15/2016 12:29:11 PM,3
ms_p2:sensormultilevel::luminositysensor:, 2/15/2016 12:33:11 PM,8
ms_p2:sensormultilevel::luminositysensor:, 2/15/2016 12:37:11 PM,7
ms_p2:sensormultilevel::luminositysensor:, 2/15/2016 12:41:11 PM,9
ms_p2:sensormultilevel::luminositysensor:, 2/15/2016 12:45:11 PM,5
ms_p2:sensormultilevel::luminositysensor:, 2/15/2016 12:49:11 PM,8
ms_p2:sensormultilevel::luminositysensor:, 2/15/2016 12:53:11 PM,5
